,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-21-W7W26WRND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
tRF-21-W7WK6WRND,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,2,0
tRF-21-W7WK6WRNE,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4,2,1,2,0,0,0,2
tRF-21-WB08Q2B5D,6,10,5,5,8,16,18,9,4,4,5,10,4,12,8,15,16,13,12,8,15,9,7,6
tRF-21-WB0Q37Q5D,48,34,24,44,27,47,28,45,32,30,43,31,14,31,39,35,44,72,37,33,22,45,32,30
tRF-21-WB863IP5D,2,1,0,1,4,1,1,1,0,4,2,0,0,3,0,0,0,1,0,0,1,6,1,0
tRF-21-WB8647O5D,2,7,5,1,3,9,10,6,5,2,3,2,1,1,1,0,10,5,1,1,6,5,2,4
tRF-21-WB8689SVD,6,4,6,0,1,2,1,2,3,4,0,2,0,5,0,1,7,5,2,5,1,1,2,2
tRF-21-WB86N7O5D,26,35,12,22,43,20,27,16,23,18,32,21,10,19,18,16,34,25,26,13,47,27,15,15
tRF-21-WB86Q3P9D,3,5,7,2,4,2,6,3,1,1,8,3,3,5,4,0,5,9,5,6,4,6,1,0
tRF-21-WB884U1DD,4,2,1,0,1,3,2,0,1,0,1,3,0,0,1,2,3,2,2,0,2,2,1,2
tRF-21-WB8HWKS5D,0,1,1,1,2,1,0,0,0,2,0,0,0,1,2,2,1,6,1,1,1,1,0,2
tRF-21-WB8US565D,3,1,2,0,3,0,2,1,0,0,4,0,0,0,4,0,1,5,2,0,2,2,0,1
tRF-21-WB8Y3DUVD,2,4,1,0,0,1,2,1,0,0,1,4,2,0,1,1,3,5,1,0,3,1,0,0
tRF-21-WBKS8WP9D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tRF-21-WBKY4VXVD,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tRF-21-WD8S746DD,98,99,46,62,68,40,82,61,42,61,82,49,23,42,47,45,62,87,92,46,71,59,56,61
tRF-21-WD8SS46DD,44,27,14,18,27,18,35,28,20,23,29,23,10,19,22,30,9,26,31,18,29,30,19,35
tRF-21-WD8YQ84VD,1,3,2,0,3,3,1,2,3,2,3,8,3,8,3,6,3,2,0,3,1,2,4,2
tRF-21-WE884U1DD,7,13,6,9,3,2,5,4,4,9,14,7,2,7,10,8,10,17,3,7,8,8,4,7
tRF-21-WE8RO86JD,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tRF-21-WE8S68L5D,12,18,4,9,7,10,5,8,5,8,10,7,4,8,6,15,10,11,6,6,30,8,7,7
tRF-21-WE8SP6X5D,5,3,3,0,9,1,4,1,0,1,1,2,0,2,2,2,4,0,2,2,4,2,0,0
tRF-21-WE8SPOL5D,36,27,12,9,13,17,28,20,14,14,28,13,1,13,10,11,25,3,15,16,33,15,14,18
